Y,T
2,0.000000
3.097188379723438,0.10
4.366630118204456,0.20
6.083601351910212,0.30
8.34182553549492,0.40
11.281051939209153,0.50
15.071688958683925,0.60
19.92391349677674,0.70
26.096581638345075,0.80
33.90827424454903,0.90
43.75079681003611,1.00
56.10569111158407,1.10
71.5644294695773,1.20
90.85311121277327,1.30
114.86266236357618,1.40
144.68576133236536,1.50
181.66198439734737,1.60
227.43299582504403,1.70
284.01001194705105,1.80
353.8562625918078,1.90
439.9877768167901,2.00
546.0965571337357,2.10
676.7011069726016,2.20
837.3303761507292,2.30
1034.7485327717632,2.40
1277.2296112243775,2.50
1574.8930906799474,2.60
1940.1139071879031,2.70
2388.023393445952,2.80
2937.1212936549587,2.90
3610.023463217096,3.00
